MAPNAME,DATANAME
NAWADA,NAWADA
NELLORE,NELLORE
NEW DELHI,NEW DELHI
NILGIRIS,NILGIRIS
NIZAMABAD,NIZAMABAD
NORTH EAST DELHI,NORTH EAST DELHI
NORTH GOA,NORTH GOA
NORTH WEST DELHI,NORTH WEST DELHI
NULL,NULL ONE
ONGOLE,ONGOLE
OSMANABAD,OSMANABAD
OUTER MANIPUR,OUTER MANIPUR
PALAKKAD,PALAKKAD
PALAMU,PALAMAU
PALGHAR,PALGHAR
PALI,PALI
PANCH MAHALS,PANCH MAHALS
PARBHANI,PARBHANI
PASHCHIM CHAMPARAN,PASCHIM CHAMPARAN
PATALIPUTRA,PATALIPUTRA
PATAN,PATAN
PATHANAMTHITTA,PATHANAMTHITTA
PATIALA,PATIALA
PATNA SAHIB,PATNA SAHIB
PEDDAPALLE,PEDDAPALLI
PERAMBALUR,PERAMBALUR
PHULPUR,PHULPUR
PILIBHIT,PILIBHIT
POLLACHI,POLLACHI
PONNANI,PONNANI
PORBANDAR,PORBANDAR
PRATAPGARH,PRATAPGARH
PUDUCHERRY,PONDICHERRY
PUNE,PUNE
PURBA CHAMPARAN,PURVI CHAMPARAN
PURI,PURI
PURNIA,PURNIA
PURULIYA,PURULIYA
RAE BARELI,RAE BARELI
RAICHUR,RAICHUR
RAIGANJ,RAIGAD
RAIGARH,RAIGARH
RAIPUR,RAIPUR
RAJAHMUNDRY,RAJAHMUNDRY
RAJAMPET,RAJAMPET
RAJGARH,RAJGARH
RAJKOT,RAJKOT
RAJMAHAL,RAJMAHAL
RAJNANDGAON,RAJNANDGAON
RAJSAMAND,RAJSAMAND
RAMANATHAPURAM,RAMANATHAPURAM
RAMPUR,RAMPUR
RAMTEK,RAMTEK
RANAGHAT,RANAGHAT
RANCHI,RANCHI
RATLAM,RATLAM
RATNAGIRI - SINDHUDURG,RATNAGIRI-SINDHUDURG
